district,price_m2,year,price_m2_ref,ratio_reference
Barajas,10.3,2009,10.5,0.980952380952381
Barajas,10.2,2010,10.5,0.9714285714285713
Barajas,10.4,2011,10.5,0.9904761904761905
Barajas,10.3,2012,10.5,0.980952380952381
Barajas,9.8,2014,10.5,0.9333333333333333
Barajas,9.5,2015,10.5,0.9047619047619048
Barajas,11.0,2016,10.5,1.0476190476190477
Barajas,11.6,2017,10.5,1.1047619047619048
Barajas,10.5,2007,10.5,1.0
Barajas,11.3,2008,10.5,1.0761904761904764
Barajas,9.4,2013,10.5,0.8952380952380953
Carabanchel,9.9,2009,10.3,0.9611650485436893
Carabanchel,9.8,2010,10.3,0.9514563106796117
Carabanchel,9.5,2011,10.3,0.9223300970873786
Carabanchel,9.2,2012,10.3,0.8932038834951455
Carabanchel,8.2,2014,10.3,0.7961165048543688
Carabanchel,8.3,2015,10.3,0.8058252427184466
Carabanchel,9.7,2016,10.3,0.9417475728155339
Carabanchel,10.7,2017,10.3,1.0388349514563104
Carabanchel,10.3,2007,10.3,1.0
Carabanchel,11.1,2008,10.3,1.0776699029126213
Carabanchel,8.3,2013,10.3,0.8058252427184466
Centro,14.7,2009,16.5,0.8909090909090909
Centro,14.3,2010,16.5,0.8666666666666667
Centro,14.0,2011,16.5,0.8484848484848485
Centro,13.6,2012,16.5,0.8242424242424242
Centro,13.5,2014,16.5,0.8181818181818182
Centro,13.7,2015,16.5,0.8303030303030302
Centro,16.9,2016,16.5,1.0242424242424242
Centro,18.4,2017,16.5,1.115151515151515
Centro,16.5,2007,16.5,1.0
Centro,16.4,2008,16.5,0.9939393939393939
Centro,12.4,2013,16.5,0.7515151515151516
Chamartín,13.6,2009,13.9,0.9784172661870503
Chamartín,13.2,2010,13.9,0.9496402877697842
Chamartín,13.2,2011,13.9,0.9496402877697842
Chamartín,12.7,2012,13.9,0.9136690647482013
Chamartín,12.2,2014,13.9,0.8776978417266186
Chamartín,12.4,2015,13.9,0.8920863309352518
Chamartín,14.3,2016,13.9,1.0287769784172662
